iter	Passed	Remaining
151	9136	50970
152	9192	50891
153	9245	50792
154	9296	50682
155	9359	50636
156	9428	50627
157	9486	50553
158	9549	50509
159	9594	50372
160	9652	50300
161	9717	50264
162	9791	50278
163	9865	50287
164	9931	50257
165	10000	50242
166	10058	50172
167	10107	50055
168	10169	50004
169	10225	49925
170	10278	49828
171	10330	49731
172	10390	49668
173	10454	49630
174	10514	49567
175	10561	49448
176	10626	49408
177	10671	49281
178	10733	49231
179	10797	49188
180	10853	49111
181	10922	49089
182	10978	49013
183	11034	48934
184	11093	48872
185	11137	48743
186	11205	48718
187	11251	48597
188	11310	48533
189	11374	48491
190	11432	48425
191	11482	48322
192	11543	48268
193	11596	48180
194	11667	48165
195	11723	48092
196	11788	48049
197	11842	47966
198	11901	47905
199	11947	47789
200	12009	47740
201	12063	47655
202	12119	47581
203	12168	47479
204	12227	47418
205	12280	47332
206	12349	47310
207	12408	47248
208	12482	47242
209	12550	47211
210	12618	47185
211	12669	47091
212	12716	46985
213	12773	46914
214	12824	46823
215	12888	46779
216	12951	46731
217	13001	46640
218	13065	46593
219	13115	46501
220	13188	46486
221	13240	46403
222	13311	46380
223	13382	46359
224	13455	46348
225	13510	46270
226	13579	46243
227	13644	46200
228	13693	46103
229	13739	45996
230	13802	45948
231	13874	45929
232	13921	45827
233	13992	45804
234	14043	45715
235	14096	45634
236	14153	45565
237	14203	45475
238	14261	45409
239	14311	45318
240	14379	45287
241	14437	45221
242	14486	45128
243	14536	45039
244	14603	45001
245	14657	44926
246	14705	44830
247	14780	44818
248	14829	44726
249	14884	44653
250	14937	44575
251	14996	44512
252	15049	44434
253	15105	44363
254	15163	44302
255	15227	44255
256	15295	44220
257	15356	44164
258	15430	44148
259	15493	44095
260	15555	44044
261	15617	43990
262	15686	43959
263	15749	43906
264	15803	43831
265	15861	43768
266	15928	43728
267	15979	43645
268	16031	43566
269	16082	43482
270	16138	43414
271	16193	43340
272	16265	43314
273	16319	43239
274	16381	43187
275	16436	43115
276	16509	43091
277	16572	43041
278	16637	42994
279	16687	42911
280	16753	42867
281	16816	42816
282	16876	42757
283	16936	42698
284	16998	42644
285	17053	42575
286	17112	42512
287	17175	42462
288	17243	42422
289	17308	42375
290	17376	42337
291	17440	42286
292	17489	42200
293	17554	42154
294	17610	42085
295	17660	42004
296	17710	41919
297	17759	41836
298	17814	41766
299	17874	41707
300	17950	41685
301	18005	41614
302	18059	41542
303	18121	41487
304	18172	41409
305	18229	41342
306	18282	41268
307	18333	41191
308	18393	41131
309	18463	41096
310	18532	41058
311	18588	40990
312	18644	40921
313	18701	40858
314	18767	40812
315	18817	40732
316	18881	40682
317	18934	40608
318	18989	40538
319	19052	40485
320	19115	40434
321	19181	40389
322	19236	40319
323	19299	40267
324	19360	40209
325	19421	40153
326	19481	40094
327	19548	40049
328	19611	39998
329	19669	39934
330	19721	39859
331	19781	39800
332	19846	39752
333	19927	39736
334	19991	39684
335	20056	39635
336	20123	39590
337	20184	39533
338	20241	39468
339	20296	39399
340	20352	39331
341	20413	39275
342	20479	39226
343	20535	39161
344	20596	39103
345	20664	39058
346	20721	38993
347	20781	38935
348	20837	38867
349	20895	38806
350	20952	38741
351	21009	38677
352	21075	38629
353	21135	38568
354	21193	38506
355	21249	38439
356	21306	38376
357	21359	38303
358	21411	38230
359	21473	38175
360	21524	38099
361	21577	38028
362	21642	37978
363	21700	37916
364	21758	37854
365	21828	37812
366	21891	37758
367	21943	37685
368	22010	37638
369	22062	37565
370	22120	37502
371	22174	37434
372	22231	37370
373	22284	37299
374	22351	37252
375	22413	37196
376	22472	37136
377	22542	37092
378	22597	37027
379	22659	36971
380	22719	36912
381	22770	36837
382	22828	36776
383	22880	36704
384	22930	36629
385	22983	36560
386	23036	36489
387	23111	36453
388	23166	36387
389	23221	36320
390	23280	36260
391	23336	36195
392	23390	36126
393	23437	36048
394	23500	35994
395	23553	35924
396	23612	35864
397	23668	35800
398	23734	35749
399	23796	35695
400	23849	35625
401	23910	35568
402	23966	35503
403	24022	35438
404	24074	35368
405	24132	35307
406	24195	35253
407	24263	35206
408	24324	35148
409	24377	35079
410	24434	35016
411	24485	34944
412	24541	34881
413	24590	34806
414	24636	34728
415	24686	34656
416	24739	34587
417	24788	34513
418	24844	34450
419	24912	34402
420	24968	34339
421	25029	34281
422	25091	34226
423	25146	34161
424	25201	34095
425	25256	34030
426	25315	33971
427	25383	33924
428	25441	33862
429	25491	33790
430	25546	33725
431	25611	33674
432	25659	33600
433	25728	33553
434	25780	33485
435	25834	33418
436	25894	33360
437	25952	33299
438	26009	33237
439	26059	33166
440	26117	33105
441	26189	33063
442	26241	32994
443	26291	32924
444	26344	32856
445	26396	32788
446	26450	32723
447	26501	32653
448	26567	32602
449	26631	32549
450	26687	32486
451	26746	32427
452	26798	32359
453	26857	32300
454	26912	32236
455	26983	32191
456	27051	32142
457	27116	32090
458	27182	32038
459	27234	31970
460	27288	31905
461	27349	31848
462	27425	31808
463	27488	31753
464	27551	31699
465	27614	31643
466	27674	31585
467	27722	31514
468	27796	31471
469	27847	31402
470	27901	31337
471	27964	31282
472	28029	31229
473	28102	31184
474	28150	31113
475	28207	31051
476	28264	30990
477	28316	30923
478	28374	30862
479	28433	30803
480	28482	30732
481	28529	30660
482	28595	30608
483	28660	30555
484	28717	30494
485	28767	30424
486	28824	30363
487	28884	30304
488	28952	30254
489	29003	30187
490	29060	30126
491	29114	30061
492	29169	29997
493	29220	29930
494	29286	29877
495	29337	29811
496	29390	29745
497	29444	29680
498	29506	29625
499	29564	29564
500	29633	29515
501	29698	29462
502	29767	29411
503	29818	29345
504	29872	29280
505	29929	29219
506	29988	29160
507	30055	29108
508	30112	29047
509	30177	28993
510	30236	28934
511	30300	28880
512	30359	28820
513	30411	28755
514	30464	28689
515	30515	28623
516	30561	28551
517	30616	28488
518	30676	28430
519	30723	28359
520	30779	28297
521	30833	28234
522	30895	28178
523	30957	28121
524	31024	28070
525	31084	28011
526	31159	27966
527	31228	27916
528	31289	27858
529	31348	27799
530	31399	27733
531	31459	27675
532	31513	27611
533	31565	27545
534	31621	27484
535	31672	27418
536	31729	27357
537	31785	27295
538	31835	27228
539	31895	27170
540	31962	27118
541	32019	27056
542	32077	26997
543	32135	26937
544	32182	26868
545	32254	26819
546	32311	26759
547	32368	26698
548	32440	26649
549	32501	26591
550	32561	26533
551	32624	26478
552	32694	26427
553	32749	26364
554	32811	26308
555	32859	26240
556	32909	26174
557	32971	26117
558	33038	26064
559	33104	26011
560	33162	25950
561	33230	25898
562	33289	25839
563	33349	25780
564	33407	25720
565	33468	25662
566	33529	25605
567	33589	25546
568	33654	25492
569	33722	25439
570	33775	25376
571	33834	25316
572	33885	25251
573	33946	25193
574	34001	25131
575	34060	25072
576	34127	25019
577	34184	24958
578	34243	24898
579	34297	24836
580	34352	24774
581	34414	24717
582	34471	24656
583	34523	24592
584	34590	24538
585	34644	24475
586	34706	24419
587	34773	24365
588	34836	24308
589	34894	24248
590	34956	24191
591	35034	24145
592	35085	24080
593	35147	24023
594	35206	23964
595	35275	23911
596	35333	23851
597	35401	23798
598	35460	23738
599	35519	23679
600	35578	23620
601	35637	23561
602	35687	23495
603	35740	23432
604	35802	23375
605	35864	23317
606	35919	23255
607	35970	23191
608	36023	23128
609	36081	23068
610	36138	23007
611	36191	22944
612	36241	22879
613	36303	22822
614	36353	22758
615	36416	22701
616	36476	22642
617	36542	22587
618	36610	22534
619	36671	22475
620	36731	22417
621	36787	22356
622	36853	22301
623	36904	22237
624	36955	22173
625	37012	22112
626	37073	22054
627	37119	21988
628	37166	21921
629	37227	21863
630	37280	21801
631	37337	21740
632	37399	21683
633	37470	21631
634	37532	21573
635	37592	21514
636	37660	21461
637	37720	21402
638	37778	21342
639	37829	21279
640	37878	21214
641	37942	21157
642	38010	21104
643	38064	21041
644	38124	20983
645	38178	20921
646	38251	20869
647	38308	20809
648	38367	20750
649	38420	20687
650	38472	20624
651	38529	20564
652	38589	20506
653	38649	20447
654	38706	20387
655	38751	20320
656	38808	20260
657	38872	20204
658	38928	20143
659	38978	20080
660	39038	20021
661	39091	19959
662	39147	19898
663	39198	19835
664	39253	19774
665	39307	19712
666	39371	19656
667	39440	19602
668	39498	19542
669	39545	19477
670	39594	19413
671	39658	19357
672	39719	19298
673	39780	19241
674	39854	19189
675	39908	19127
676	39969	19069
677	40021	19007
678	40083	18949
679	40146	18892
680	40208	18834
681	40262	18773
682	40318	18712
683	40373	18652
684	40429	18591
685	40487	18532
686	40544	18472
687	40603	18413
688	40666	18355
689	40716	18292
690	40767	18230
691	40828	18172
692	40879	18109
693	40948	18055
694	41009	17996
695	41063	17935
696	41120	17875
697	41183	17818
698	41242	17759
699	41288	17695
700	41334	17630
701	41395	17572
702	41448	17511
703	41498	17448
704	41554	17388
705	41604	17325
706	41664	17266
707	41723	17207
708	41778	17147
709	41832	17086
710	41892	17028
711	41955	16970
712	42011	16910
713	42079	16855
714	42137	16796
715	42199	16738
716	42270	16684
717	42334	16627
718	42389	16566
719	42445	16506
720	42504	16447
721	42553	16384
722	42606	16323
723	42663	16263
724	42714	16202
725	42773	16143
726	42831	16083
727	42893	16026
728	42950	15966
729	43010	15907
730	43081	15853
731	43136	15793
732	43192	15733
733	43253	15674
734	43315	15617
735	43374	15558
736	43433	15499
737	43499	15442
738	43566	15386
739	43631	15329
740	43696	15272
741	43753	15213
742	43825	15158
743	43876	15097
744	43940	15040
745	43998	14980
746	44056	14921
747	44111	14860
748	44179	14805
749	44239	14746
750	44287	14683
751	44342	14623
752	44403	14565
753	44449	14502
754	44504	14441
755	44560	14382
756	44615	14321
757	44679	14264
758	44743	14207
759	44803	14148
760	44852	14086
761	44905	14025
762	44967	13967
763	45028	13909
764	45079	13847
765	45142	13790
766	45204	13732
767	45262	13672
768	45311	13611
769	45370	13552
770	45425	13492
771	45494	13436
772	45556	13378
773	45611	13318
774	45671	13259
775	45742	13203
776	45798	13144
777	45856	13084
778	45921	13027
779	45977	12967
780	46031	12907
781	46094	12849
782	46149	12789
783	46206	12730
784	46263	12670
785	46325	12612
786	46380	12552
787	46451	12497
788	46504	12436
789	46570	12379
790	46631	12321
791	46684	12260
792	46742	12201
793	46817	12146
794	46874	12087
795	46932	12027
796	46990	11968
797	47046	11908
798	47101	11849
799	47164	11791
800	47223	11732
801	47278	11672
802	47332	11612
803	47393	11553
804	47450	11494
805	47514	11436
806	47576	11378
807	47635	11319
808	47706	11263
809	47769	11205
810	47821	11144
811	47887	11087
812	47955	11030
813	48012	10970
814	48069	10911
815	48132	10853
816	48185	10793
817	48243	10733
818	48299	10674
819	48354	10614
820	48414	10555
821	48468	10495
822	48533	10437
823	48591	10378
824	48643	10318
825	48695	10257
826	48753	10198
827	48813	10140
828	48883	10083
829	48944	10024
830	49004	9966
831	49055	9905
832	49117	9847
833	49172	9787
834	49232	9728
835	49297	9670
836	49368	9614
837	49429	9555
838	49507	9500
839	49561	9440
840	49614	9380
841	49670	9320
842	49721	9260
843	49775	9200
844	49828	9140
845	49886	9081
846	49954	9023
847	50024	8966
848	50093	8909
849	50153	8850
850	50214	8791
851	50280	8734
852	50338	8674
853	50393	8615
854	50452	8556
855	50507	8496
856	50576	8439
857	50639	8380
858	50692	8320
859	50757	8262
860	50813	8203
861	50879	8145
862	50938	8086
863	50995	8027
864	51054	7968
865	51113	7908
866	51162	7848
867	51218	7788
868	51282	7730
869	51337	7671
870	51397	7612
871	51456	7553
872	51520	7494
873	51590	7437
874	51643	7377
875	51709	7319
876	51767	7260
877	51827	7201
878	51884	7142
879	51940	7082
880	52002	7024
881	52054	6964
882	52112	6905
883	52174	6846
884	52239	6788
885	52297	6728
886	52365	6671
887	52424	6612
888	52485	6553
889	52545	6494
890	52606	6435
891	52664	6376
892	52719	6316
893	52775	6257
894	52836	6198
895	52894	6139
896	52956	6080
897	53014	6021
898	53075	5962
899	53133	5903
900	53188	5844
901	53249	5785
902	53301	5725
903	53357	5666
904	53417	5607
905	53469	5547
906	53535	5489
907	53598	5430
908	53658	5371
909	53729	5313
910	53791	5255
911	53854	5196
912	53914	5137
913	53976	5078
914	54030	5019
915	54085	4959
916	54152	4901
917	54223	4843
918	54282	4784
919	54337	4725
920	54389	4665
921	54451	4606
922	54525	4548
923	54588	4489
924	54647	4430
925	54705	4371
926	54761	4312
927	54818	4253
928	54875	4193
929	54937	4135
930	54995	4075
931	55059	4017
932	55112	3957
933	55168	3898
934	55225	3839
935	55281	3779
936	55339	3720
937	55395	3661
938	55457	3602
939	55513	3543
940	55571	3484
941	55655	3426
942	55715	3367
943	55775	3308
944	55839	3249
945	55899	3190
946	55962	3132
947	56020	3072
948	56076	3013
949	56148	2955
950	56209	2896
951	56274	2837
952	56332	2778
953	56393	2719
954	56454	2660
955	56518	2601
956	56575	2542
957	56632	2482
958	56689	2423
959	56752	2364
960	56816	2305
961	56873	2246
962	56935	2187
963	56995	2128
964	57057	2069
965	57119	2010
966	57175	1951
967	57231	1891
968	57284	1832
969	57346	1773
970	57407	1714
971	57475	1655
972	57545	1596
973	57600	1537
974	57655	1478
975	57726	1419
976	57788	1360
977	57838	1301
978	57894	1241
979	57949	1182
980	58010	1123
981	58065	1064
982	58123	1005
983	58187	946
984	58235	886
985	58295	827
986	58348	768
987	58395	709
988	58461	650
989	58523	591
990	58578	531
991	58645	472
992	58701	413
993	58754	354
994	58816	295
995	58873	236
996	58937	177
997	58997	118
998	59058	59
999	59108	0
