iter	TotalF1	MultiClass
0	0.2719266223	2.99384276
1	0.4506700528	2.480680312
2	0.5201835997	2.254259642
3	0.5734764541	2.105636622
4	0.6021240328	1.995073175
5	0.6505502891	1.819036243
6	0.6855676943	1.703756564
7	0.7291052848	1.569612065
8	0.7379456074	1.47931689
9	0.7406809945	1.403197206
10	0.7673979544	1.329131478
11	0.7787634184	1.25321776
12	0.783396231	1.201940857
13	0.7964266984	1.147345579
14	0.8000308829	1.121405927
15	0.8116526246	1.056463176
16	0.8338567989	1.003118866
17	0.8454488887	0.9578141142
18	0.8544261404	0.9167813791
19	0.8611681654	0.8719756155
20	0.8677420383	0.8371945485
21	0.8698884518	0.8024878939
22	0.8776242088	0.7715196173
23	0.881975977	0.7413820377
24	0.8846045855	0.7200363184
25	0.8845640441	0.7022294142
26	0.8866901752	0.684016389
27	0.8870896278	0.6677426072
28	0.8899709253	0.6442621707
29	0.8943660734	0.6233350013
30	0.8981651838	0.6030786738
31	0.9015587078	0.5852678956
32	0.9067961102	0.5647442106
33	0.9096690396	0.5500237819
34	0.9118591418	0.529298543
35	0.9142444919	0.5155049608
36	0.9166420972	0.4978273502
37	0.9221847888	0.4849629821
38	0.9238405635	0.47221069
39	0.9250506966	0.4620125796
40	0.928521008	0.4484690836
41	0.9316387746	0.4312442429
42	0.93368162	0.4197897028
43	0.9368166981	0.4113886019
44	0.9381251677	0.401705783
45	0.9381114918	0.3936253336
46	0.9390303979	0.3885577813
47	0.9398659885	0.37929935
48	0.9406263044	0.3742015324
49	0.944024007	0.3640257242
50	0.9440526563	0.3569466146
51	0.9466265032	0.3512100766
52	0.9465685973	0.3473282272
53	0.9481038571	0.340486694
54	0.9489262492	0.3292742231
55	0.9497865335	0.3251130445
56	0.952455436	0.3160040031
57	0.9535454809	0.3091439878
58	0.9539939538	0.3043905228
59	0.954131393	0.3029797262
60	0.9548325284	0.2960574047
61	0.9555886239	0.2906588703
62	0.9574929314	0.2842895575
63	0.9576738124	0.2802893369
64	0.9588996908	0.2735033574
65	0.9594486864	0.2696349055
66	0.9597576988	0.2652949595
67	0.9598353994	0.2638459883
68	0.9602178212	0.2608959087
69	0.9599457938	0.2576021759
70	0.9603095685	0.2560060746
71	0.9620116144	0.2512878788
72	0.9627026086	0.2469864573
73	0.963671494	0.2413477908
74	0.9641150864	0.2389560197
75	0.9645996938	0.2363117144
76	0.9648465627	0.2323600798
77	0.9660755579	0.2274420788
78	0.9661969471	0.2254632484
79	0.9663819419	0.2232430887
80	0.9667651043	0.2207460346
81	0.9667291616	0.2191733116
82	0.9675823022	0.2157871955
83	0.9681459945	0.2133676206
84	0.9684478143	0.2109099249
85	0.9682898995	0.2082055462
86	0.9687799408	0.2055325763
87	0.9689808622	0.2029700548
88	0.9688937657	0.2016456558
89	0.9696600887	0.1992882796
90	0.9702719567	0.1969412744
91	0.9707210953	0.1943841872
92	0.9708159257	0.1928821641
93	0.9713126735	0.1904758254
94	0.9712476897	0.1881549156
95	0.9715252322	0.1864372014
96	0.9714804679	0.1846231222
97	0.9715739407	0.1843710722
98	0.9720464258	0.182996352
99	0.9720591331	0.1804253562
100	0.9721220889	0.1800941186
101	0.9727950245	0.1772605135
102	0.9730534346	0.1755290655
103	0.973341155	0.1737835475
104	0.9734753171	0.1719416914
105	0.9740027446	0.170228591
106	0.9740097498	0.168331773
107	0.9743931531	0.1652108084
108	0.974761339	0.1629683196
109	0.9747444213	0.1628587724
110	0.9749681971	0.1607183922
111	0.9751332368	0.1593895812
112	0.9759214714	0.156757261
113	0.9759540209	0.1555804359
114	0.975598944	0.1543879536
115	0.9764456175	0.1531087912
116	0.9764111592	0.1527561257
117	0.9769542383	0.1506671563
118	0.9768842052	0.1501658946
119	0.9766532748	0.1498218244
120	0.9772257945	0.1489536523
121	0.97735431	0.1472505058
122	0.9774010291	0.1471264043
123	0.978383444	0.144207572
124	0.9784469008	0.143146401
125	0.9784310424	0.1429471876
126	0.9786667403	0.1420147856
127	0.9789138289	0.1411010809
128	0.9789258676	0.1408559853
129	0.9787247578	0.1392595477
130	0.9790543354	0.1374563775
131	0.9791059705	0.1360850336
132	0.9790941154	0.1350579884
133	0.9791082668	0.1333733105
134	0.9792035683	0.1328453749
135	0.9793300892	0.1317712772
136	0.9798140013	0.1296594675
137	0.9797505285	0.1294475562
138	0.9797669344	0.1283949133
139	0.9798829182	0.126393404
140	0.9799917069	0.1253206515
141	0.9799776692	0.1243844159
142	0.9804422232	0.1225773852
143	0.9805729371	0.1212426018
144	0.9808436456	0.1199152301
145	0.9810850993	0.1186901822
146	0.9813232569	0.1179251948
147	0.9814076051	0.1167250048
148	0.9816079507	0.1154931506
149	0.9816084118	0.114888045
150	0.9818227998	0.1133243613
151	0.9818224809	0.1124456569
152	0.9821836377	0.1117162817
153	0.9819605192	0.1110514995
154	0.9823354112	0.1107283327
155	0.9825379445	0.1101021826
156	0.9824905015	0.1091096198
157	0.9824786297	0.108467725
158	0.9826954031	0.1074306721
159	0.9828711457	0.1071980794
160	0.9829018687	0.1065043972
161	0.982716618	0.1056617623
162	0.9828696644	0.1043110594
163	0.9829168128	0.1031563953
164	0.9835469384	0.1023454381
165	0.9832879283	0.1014449426
166	0.9834006089	0.1007854872
167	0.9834010984	0.1005209275
168	0.9834782947	0.09984888166
169	0.9834927794	0.09905943311
170	0.9837514581	0.09860058325
171	0.9836713011	0.09817437963
172	0.9837797031	0.09754245222
173	0.9838079257	0.09662566718
174	0.9839033399	0.0961834431
175	0.9838881068	0.09587803192
176	0.9840214865	0.0949741332
177	0.9840990389	0.09490095827
178	0.9844177223	0.0940213391
179	0.9845020984	0.09347326694
180	0.9844700378	0.09286454298
181	0.9846013278	0.0920602644
182	0.9846796972	0.09155781896
183	0.9848206878	0.09103282918
184	0.984851057	0.09037165198
185	0.984851057	0.09032135766
186	0.9849754636	0.08938636633
187	0.9850055999	0.08917432044
188	0.9851355428	0.08865998407
189	0.9852577132	0.08786346015
190	0.985358957	0.08730524573
191	0.9853745057	0.08695411367
192	0.985573294	0.08638612017
193	0.9856508223	0.08600247638
194	0.9858756909	0.08513149293
195	0.9859356056	0.08473798263
196	0.9860298845	0.0840089034
197	0.9860147632	0.0836291134
198	0.986094472	0.08311627685
199	0.986094472	0.08286774438
200	0.9862156865	0.08250087433
201	0.9865258248	0.08220191304
202	0.9865559265	0.08173505294
203	0.9865560377	0.08141198697
204	0.9865202354	0.08084288374
205	0.9870290677	0.08025291086
206	0.9871079451	0.07967016803
207	0.9873552965	0.07925519623
208	0.9877390178	0.07849571711
209	0.9877736054	0.07794385842
210	0.9879195386	0.07746367483
211	0.9879045273	0.07733895462
212	0.987826107	0.07707693725
213	0.987826107	0.07682100659
214	0.9878105688	0.07657274987
215	0.9879167695	0.07617208349
216	0.9879668897	0.07571168001
217	0.9881823803	0.07540423096
218	0.9882660191	0.07494577119
219	0.9882807897	0.07470196012
220	0.9883305465	0.07403879886
221	0.9884516903	0.07381888397
222	0.9888131326	0.07323238825
223	0.9886335782	0.07283161426
224	0.988878125	0.07230335582
225	0.9889881798	0.07194093815
226	0.9890632193	0.07152927535
227	0.989079097	0.07116301061
228	0.9890483507	0.07094520085
229	0.9890008362	0.07081292775
230	0.9890919019	0.07023582101
231	0.9891964008	0.06983959356
232	0.9893003952	0.06966713477
233	0.9894237676	0.06913681829
234	0.9894240441	0.0689276308
235	0.9893767641	0.06870865751
236	0.9896192958	0.06830988776
237	0.9896499073	0.06806512838
238	0.9896154679	0.06784620889
239	0.9896451336	0.06764211944
240	0.9898421684	0.0671626555
241	0.9899057674	0.06688509518
242	0.9899204757	0.06676276929
243	0.9899351814	0.06658569672
244	0.9899792826	0.06623279582
